id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,target,song_title,artist,country,style,year
0,0.0102,0.833,204600,0.434,0.0219,2,0.165,-8.795,1,0.431,150.062,4.0,0.286,1,Mask Off,Future,US,Hip Hop,2017
1,0.199,0.743,326933,0.359,0.00611,1,0.137,-10.401,1,0.0794,160.083,4.0,0.588,1,Redbone,Childish Gambino,Canada,Electronic,2018
2,0.0344,0.838,185707,0.412,0.000234,2,0.159,-7.148,1,0.289,75.044,4.0,0.173,1,Xanny Family,Future,Unknown,Hip Hop,2016
3,0.604,0.494,199413,0.338,0.51,5,0.0922,-15.236,1,0.0261,86.468,4.0,0.23,1,Master Of None,Beach House,US,Rock,2006
4,0.18,0.678,392893,0.561,0.512,5,0.439,-11.648,0,0.0694,174.004,4.0,0.904,1,Parallel Lines,Junior Boys,US,Electronic,2009
5,0.00479,0.804,251333,0.56,0.0,8,0.164,-6.682,1,0.185,85.023,4.0,0.264,1,Sneakin’,Drake,US,Hip Hop,2016
6,0.0145,0.739,241400,0.472,7.27e-06,1,0.207,-11.204,1,0.156,80.03,4.0,0.308,1,Childs Play,Drake,US,Hip Hop,2016
8,0.0481,0.603,202853,0.944,0.0,11,0.342,-3.626,0,0.347,130.035,4.0,0.398,1,I've Seen Footage,Death Grips,US,Hip Hop,2012
9,0.00208,0.836,226840,0.603,0.0,7,0.571,-7.792,1,0.237,99.994,4.0,0.386,1,Digital Animal,Honey Claws,US,Electronic,2008
10,0.0572,0.525,358187,0.855,0.0143,5,0.649,-7.372,0,0.0548,111.951,3.0,0.524,1,Subways - In Flagranti Extended Edit,The Avalanches,Australia,Electronic,2016
11,0.0915,0.753,324880,0.748,0.00348,10,0.212,-8.62,1,0.0494,104.322,4.0,0.642,1,Donme Dolap - Baris K Edit,Modern Folk Üçlüsü,UK,Funk / Soul,2011
12,0.253,0.603,356973,0.434,0.0619,0,0.108,-11.062,1,0.0342,127.681,4.0,0.381,1,Cemalim,Erkin Koray,Turkey,Rock,1974
14,0.44,0.662,247288,0.603,0.0,9,0.0972,-8.317,0,0.0793,125.011,4.0,0.351,1,Oh lala,PNL,France,Hip Hop,2015
15,0.019,0.637,188333,0.832,0.0563,6,0.316,-6.637,1,0.163,99.988,4.0,0.317,1,Char,Crystal Castles,UK,Electronic,2016
16,0.0239,0.603,270827,0.955,0.0451,1,0.119,-4.111,1,0.0458,123.922,4.0,0.773,1,World In Motion,New Order,UK,Electronic,1990
18,0.314,0.713,195429,0.611,0.0,1,0.117,-6.702,0,0.241,140.061,4.0,0.783,1,Bouncin,Chief Keef,US,Hip Hop,2015
19,0.0242,0.735,214347,0.759,0.185,1,0.0966,-6.914,0,0.0449,109.982,4.0,0.763,1,C O O L - Radio Edit,Le Youth,US,Electronic,1997
20,0.000702,0.854,249253,0.719,0.308,10,0.428,-9.335,0,0.0655,128.049,4.0,0.471,1,Percolator (Jamie Jones Vault Mix) - mixed,Cajmere,Europe,Electronic,2013
21,0.00024,0.747,307680,0.74,0.369,1,0.0995,-4.134,1,0.0323,130.031,4.0,0.77,1,House of Jealous Lovers,The Rapture,US,Electronic,2002
22,0.118,0.854,287086,0.401,0.0,9,0.527,-8.553,1,0.395,139.922,4.0,0.441,1,Imma Ride,Young Thug,Europe,Hip Hop,2014
23,0.000596,0.224,132760,0.925,1.35e-06,11,0.0663,-1.71,0,0.0834,138.022,4.0,0.364,1,Girlfriend,Ty Segall,US,Rock,2015
25,0.00219,0.781,205160,0.795,0.269,7,0.0673,-6.758,1,0.036,109.977,4.0,0.795,1,This Ready Flesh,TR/ST,Belgium,Electronic,1991
